date,open,high,low,close,volume,market,close_ratio,spread,profit\loss,slug_bitcoin,symbol_BTC,name_Bitcoin,ranknow_1,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,day_1,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_2,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_3,day_30,day_31,day_4,day_5,day_6,day_7,day_8,day_9,day_name_Friday,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,month_name_April,month_name_August,month_name_December,month_name_February,month_name_January,month_name_July,month_name_June,month_name_March,month_name_May,month_name_November,month_name_October,month_name_September
2013-08-09,1.5471998523095925e-05,0.00010177892589687242,0.0,0.0,0.0,0.0,0.2277486910994743,0.0011754583276810501,0.3577109615719896,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-10,0.0,0.0,2.9084010764733842e-05,1.1458719538111777e-05,0.0,9.722751802297558e-06,0.395973154362416,0.00019380316513738132,0.35807064779195413,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-11,1.1460739646738055e-05,7.097016994971082e-05,4.9685185056420955e-05,0.00012604591491922792,0.0,9.044524806270217e-05,0.9221311475409844,0.0005940488322689181,0.3594481694854353,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-12,0.00012606813611411698,0.00022556410604171763,9.512895187631856e-05,0.0002200074151317432,0.0,0.00015690533582868278,0.6977777777777779,0.0014619499631015247,0.35917266514673907,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-13,0.0002401024955991587,0.0002998352141286244,0.00016480939433349522,0.00035522030568146024,0.0,0.00025183132609595975,0.925531914893618,0.0015462122088134233,0.3594558223837324,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-14,0.00038737300005974105,0.0006106735553812361,0.00036779155279570414,0.0005591855134598471,0.0,0.00039395723013346297,0.6514285714285718,0.002515228034500318,0.3602134593151471,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-15,0.0005592840947608094,0.0005143961930463564,0.0004283832418889009,0.00041194096739511244,0.0,0.0002940516917490064,0.232941176470587,0.0013566221559616453,0.3559507949636525,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-16,0.00041258662728256427,0.00046213133920742166,0.00039929923112416623,0.00035464736970455433,0.0,0.0002563035982756575,0.124338624338624,0.0011586058785386726,0.35714464709800287,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-17,0.00035470989206653764,0.0005419040108563221,0.00038112172439620735,0.0006130414952889716,0.0,0.00043610124261064267,0.9547920433996384,0.001895900528517828,0.36136904695801186,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-18,0.0005701717974252102,0.0005936187083390573,0.0006101583091684913,0.0006130414952889716,0.0,0.00043797160853144366,0.5576208178438666,0.0006993766394087973,0.3584915571982956,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
