slug,symbol,name,ranknow,date,year,month,day,open,high,low,close,volume,market,close_ratio,spread,profit\loss
bitcoin,BTC,Bitcoin,1,2013-08-09,2013,8,9,103.07,105.75,101.93,102.8,0.0,1185307130.0,0.2277486910994743,3.819999999999993,-0.269999999999996
bitcoin,BTC,Bitcoin,1,2013-08-10,2013,8,10,102.8,103.9,102.41,103.0,0.0,1188153925.0,0.395973154362416,1.490000000000009,0.20000000000000284
bitcoin,BTC,Bitcoin,1,2013-08-11,2013,8,11,103.0,105.19,102.75,105.0,0.0,1211789250.0,0.9221311475409844,2.4399999999999977,2.0
bitcoin,BTC,Bitcoin,1,2013-08-12,2013,8,12,105.0,108.0,103.5,106.64,0.0,1231248581.0,0.6977777777777779,4.5,1.6400000000000006
bitcoin,BTC,Bitcoin,1,2013-08-13,2013,8,13,106.99,109.35,104.65,109.0,0.0,1259042650.0,0.925531914893618,4.699999999999989,2.010000000000005
bitcoin,BTC,Bitcoin,1,2013-08-14,2013,8,14,109.56,115.0,108.0,112.56,0.0,1300656724.0,0.6514285714285718,7.0,3.0
bitcoin,BTC,Bitcoin,1,2013-08-15,2013,8,15,112.56,113.25,109.0,109.99,0.0,1271404657.0,0.232941176470587,4.25,-2.5700000000000074
bitcoin,BTC,Bitcoin,1,2013-08-16,2013,8,16,110.0,112.3,108.52,108.99,0.0,1260352119.0,0.124338624338624,3.780000000000001,-1.0100000000000051
bitcoin,BTC,Bitcoin,1,2013-08-17,2013,8,17,108.99,113.75,108.22,113.5,0.0,1312996375.0,0.9547920433996384,5.530000000000001,4.510000000000005
bitcoin,BTC,Bitcoin,1,2013-08-18,2013,8,18,112.75,114.69,112.0,113.5,0.0,1313544013.0,0.5576208178438666,2.6899999999999977,0.75
bitcoin,BTC,Bitcoin,1,2013-08-19,2013,8,19,113.38,123.06,111.77,119.0,0.0,1377725475.0,0.6403897254207263,11.290000000000006,5.6200000000000045
bitcoin,BTC,Bitcoin,1,2013-08-20,2013,8,20,119.0,123.01,117.51,121.21,0.0,1403829641.0,0.6727272727272706,5.5,2.2099999999999937
bitcoin,BTC,Bitcoin,1,2013-08-21,2013,8,21,121.21,124.91,119.68,123.3,0.0,1428698678.0,0.692160611854684,5.22999999999999,2.0900000000000034
bitcoin,BTC,Bitcoin,1,2013-08-22,2013,8,22,123.3,123.5,120.6,121.15,0.0,1404437433.0,0.1896551724137966,2.9000000000000057,-2.1499999999999915
bitcoin,BTC,Bitcoin,1,2013-08-23,2013,8,23,122.0,122.0,118.44,118.5,0.0,1374309422.0,0.0168539325842702,3.5600000000000023,-3.5
bitcoin,BTC,Bitcoin,1,2013-08-24,2013,8,24,118.51,121.39,118.02,120.04,0.0,1392768092.0,0.5994065281899132,3.3700000000000045,1.5300000000000011
bitcoin,BTC,Bitcoin,1,2013-08-25,2013,8,25,119.6,122.99,119.17,122.11,0.0,1417198897.0,0.7696335078534039,3.819999999999993,2.510000000000005
bitcoin,BTC,Bitcoin,1,2013-08-26,2013,8,26,122.11,122.75,119.93,120.06,0.0,1393847159.0,0.0460992907801403,2.819999999999993,-2.049999999999997
bitcoin,BTC,Bitcoin,1,2013-08-27,2013,8,27,120.07,127.24,120.07,126.5,0.0,1469193138.0,0.8967921896792197,7.170000000000002,6.430000000000007
bitcoin,BTC,Bitcoin,1,2013-08-28,2013,8,28,126.48,127.32,122.62,122.62,0.0,1424675798.0,0.0,4.699999999999989,-3.8599999999999994
bitcoin,BTC,Bitcoin,1,2013-08-29,2013,8,29,122.62,123.7,122.21,122.39,0.0,1422584866.0,0.1208053691275206,1.490000000000009,-0.23000000000000398
bitcoin,BTC,Bitcoin,1,2013-08-30,2013,8,30,122.35,135.75,120.99,133.49,0.0,1552288465.0,0.846883468834689,14.760000000000003,11.140000000000015
bitcoin,BTC,Bitcoin,1,2013-08-31,2013,8,31,133.09,140.89,132.72,135.35,0.0,1574672051.0,0.3219094247246021,8.169999999999987,2.259999999999991
bitcoin,BTC,Bitcoin,1,2013-09-01,2013,9,1,135.14,145.81,134.81,138.34,0.0,1610215347.0,0.320909090909091,11.0,3.200000000000017
bitcoin,BTC,Bitcoin,1,2013-09-02,2013,9,2,138.63,146.5,134.89,135.85,0.0,1581969854.0,0.0826873385012925,11.610000000000014,-2.780000000000001
bitcoin,BTC,Bitcoin,1,2013-09-03,2013,9,3,135.61,138.34,133.0,136.77,0.0,1593346565.0,0.7059925093632974,5.340000000000003,1.1599999999999966
bitcoin,BTC,Bitcoin,1,2013-09-04,2013,9,4,136.53,144.5,123.61,126.74,0.0,1477012118.0,0.1498324557204401,20.89,-9.790000000000006
bitcoin,BTC,Bitcoin,1,2013-09-05,2013,9,5,126.76,131.44,121.83,126.43,0.0,1473965191.0,0.4786680541103026,9.61,-0.3299999999999983
bitcoin,BTC,Bitcoin,1,2013-09-06,2013,9,6,126.49,127.34,119.15,119.15,0.0,1389646450.0,0.0,8.189999999999998,-7.339999999999989
bitcoin,BTC,Bitcoin,1,2013-09-07,2013,9,7,118.89,125.94,118.46,124.15,0.0,1448411494.0,0.7606951871657766,7.480000000000004,5.260000000000005
